,label,model,nFeatures,truePos,trueNeg,falsePos,falseNeg,testIndex
370,gad,RF,6,0,0,0,1,7
371,gad,XG,6,0,0,0,1,7
372,gad,NB,7,1,0,0,0,7
373,gad,LR1,7,1,0,0,0,7
374,gad,SVC1,7,0,0,0,1,7
375,gad,kNN5,7,0,0,0,1,7
376,gad,RF,7,0,0,0,1,7
377,gad,XG,7,0,0,0,1,7
378,gad,NB,8,1,0,0,0,7
379,gad,LR1,8,1,0,0,0,7
380,gad,SVC1,8,0,0,0,1,7
381,gad,kNN5,8,0,0,0,1,7
382,gad,RF,8,0,0,0,1,7
383,gad,XG,8,0,0,0,1,7
384,gad,NB,1,0,0,1,0,8
385,gad,LR1,1,0,0,1,0,8
386,gad,SVC1,1,0,0,1,0,8
387,gad,kNN5,1,0,1,0,0,8
388,gad,RF,1,0,0,1,0,8
389,gad,XG,1,0,1,0,0,8
390,gad,NB,2,0,0,1,0,8
391,gad,LR1,2,0,0,1,0,8
392,gad,SVC1,2,0,0,1,0,8
393,gad,kNN5,2,0,0,1,0,8
394,gad,RF,2,0,0,1,0,8
395,gad,XG,2,0,0,1,0,8
396,gad,NB,3,0,1,0,0,8
397,gad,LR1,3,0,0,1,0,8
398,gad,SVC1,3,0,0,1,0,8
399,gad,kNN5,3,0,0,1,0,8
400,gad,RF,3,0,0,1,0,8
401,gad,XG,3,0,0,1,0,8
402,gad,NB,4,0,0,1,0,8
403,gad,LR1,4,0,0,1,0,8
404,gad,SVC1,4,0,0,1,0,8
405,gad,kNN5,4,0,0,1,0,8
406,gad,RF,4,0,0,1,0,8
407,gad,XG,4,0,0,1,0,8
408,gad,NB,5,0,0,1,0,8
409,gad,LR1,5,0,0,1,0,8
410,gad,SVC1,5,0,0,1,0,8
411,gad,kNN5,5,0,0,1,0,8
412,gad,RF,5,0,0,1,0,8
413,gad,XG,5,0,0,1,0,8
414,gad,NB,6,0,0,1,0,8
415,gad,LR1,6,0,0,1,0,8
416,gad,SVC1,6,0,0,1,0,8
417,gad,kNN5,6,0,0,1,0,8
418,gad,RF,6,0,0,1,0,8
419,gad,XG,6,0,1,0,0,8
420,gad,NB,7,0,0,1,0,8
421,gad,LR1,7,0,0,1,0,8
422,gad,SVC1,7,0,0,1,0,8
423,gad,kNN5,7,0,0,1,0,8
424,gad,RF,7,0,0,1,0,8
425,gad,XG,7,0,0,1,0,8
426,gad,NB,8,0,0,1,0,8
427,gad,LR1,8,0,0,1,0,8
428,gad,SVC1,8,0,0,1,0,8
429,gad,kNN5,8,0,0,1,0,8
430,gad,RF,8,0,0,1,0,8
431,gad,XG,8,0,0,1,0,8
432,gad,NB,1,0,1,0,0,9
433,gad,LR1,1,0,1,0,0,9
434,gad,SVC1,1,0,1,0,0,9
435,gad,kNN5,1,0,1,0,0,9
436,gad,RF,1,0,0,1,0,9
437,gad,XG,1,0,1,0,0,9
438,gad,NB,2,0,1,0,0,9
439,gad,LR1,2,0,1,0,0,9
440,gad,SVC1,2,0,1,0,0,9
441,gad,kNN5,2,0,1,0,0,9
442,gad,RF,2,0,1,0,0,9
443,gad,XG,2,0,1,0,0,9
444,gad,NB,3,0,1,0,0,9
445,gad,LR1,3,0,1,0,0,9
446,gad,SVC1,3,0,1,0,0,9
447,gad,kNN5,3,0,1,0,0,9
448,gad,RF,3,0,1,0,0,9
449,gad,XG,3,0,1,0,0,9
450,gad,NB,4,0,1,0,0,9
451,gad,LR1,4,0,1,0,0,9
452,gad,SVC1,4,0,1,0,0,9
453,gad,kNN5,4,0,1,0,0,9
454,gad,RF,4,0,1,0,0,9
455,gad,XG,4,0,0,1,0,9
456,gad,NB,5,0,1,0,0,9
457,gad,LR1,5,0,1,0,0,9
458,gad,SVC1,5,0,1,0,0,9
459,gad,kNN5,5,0,1,0,0,9
460,gad,RF,5,0,1,0,0,9
461,gad,XG,5,0,0,1,0,9
462,gad,NB,6,0,1,0,0,9
463,gad,LR1,6,0,1,0,0,9
464,gad,SVC1,6,0,0,1,0,9
465,gad,kNN5,6,0,1,0,0,9
466,gad,RF,6,0,0,1,0,9
467,gad,XG,6,0,0,1,0,9
468,gad,NB,7,0,1,0,0,9
469,gad,LR1,7,0,1,0,0,9
470,gad,SVC1,7,0,0,1,0,9
471,gad,kNN5,7,0,1,0,0,9
472,gad,RF,7,0,0,1,0,9
473,gad,XG,7,0,0,1,0,9
474,gad,NB,8,0,1,0,0,9
475,gad,LR1,8,0,1,0,0,9
476,gad,SVC1,8,0,0,1,0,9
477,gad,kNN5,8,0,1,0,0,9
478,gad,RF,8,0,0,1,0,9
479,gad,XG,8,0,0,1,0,9
480,gad,NB,1,1,0,0,0,10
481,gad,LR1,1,0,0,0,1,10
482,gad,SVC1,1,1,0,0,0,10
483,gad,kNN5,1,1,0,0,0,10
484,gad,RF,1,1,0,0,0,10
485,gad,XG,1,1,0,0,0,10
486,gad,NB,2,1,0,0,0,10
487,gad,LR1,2,1,0,0,0,10
488,gad,SVC1,2,1,0,0,0,10
489,gad,kNN5,2,1,0,0,0,10
490,gad,RF,2,1,0,0,0,10
491,gad,XG,2,1,0,0,0,10
492,gad,NB,3,1,0,0,0,10
493,gad,LR1,3,1,0,0,0,10
494,gad,SVC1,3,1,0,0,0,10
495,gad,kNN5,3,1,0,0,0,10
496,gad,RF,3,1,0,0,0,10
497,gad,XG,3,1,0,0,0,10
498,gad,NB,4,1,0,0,0,10
499,gad,LR1,4,1,0,0,0,10
500,gad,SVC1,4,1,0,0,0,10
501,gad,kNN5,4,1,0,0,0,10
502,gad,RF,4,1,0,0,0,10
503,gad,XG,4,1,0,0,0,10
504,gad,NB,5,1,0,0,0,10
505,gad,LR1,5,1,0,0,0,10
506,gad,SVC1,5,1,0,0,0,10
507,gad,kNN5,5,1,0,0,0,10
508,gad,RF,5,1,0,0,0,10
509,gad,XG,5,1,0,0,0,10
510,gad,NB,6,1,0,0,0,10
511,gad,LR1,6,1,0,0,0,10
512,gad,SVC1,6,1,0,0,0,10
513,gad,kNN5,6,0,0,0,1,10
514,gad,RF,6,1,0,0,0,10
515,gad,XG,6,1,0,0,0,10
516,gad,NB,7,1,0,0,0,10
517,gad,LR1,7,1,0,0,0,10
518,gad,SVC1,7,0,0,0,1,10
519,gad,kNN5,7,0,0,0,1,10
520,gad,RF,7,1,0,0,0,10
521,gad,XG,7,1,0,0,0,10
522,gad,NB,8,1,0,0,0,10
523,gad,LR1,8,1,0,0,0,10
524,gad,SVC1,8,0,0,0,1,10
525,gad,kNN5,8,1,0,0,0,10
526,gad,RF,8,1,0,0,0,10
527,gad,XG,8,1,0,0,0,10
528,gad,NB,1,1,0,0,0,11
529,gad,LR1,1,1,0,0,0,11
530,gad,SVC1,1,1,0,0,0,11
531,gad,kNN5,1,1,0,0,0,11
532,gad,RF,1,0,0,0,1,11
533,gad,XG,1,0,0,0,1,11
534,gad,NB,2,1,0,0,0,11
535,gad,LR1,2,1,0,0,0,11
536,gad,SVC1,2,1,0,0,0,11
537,gad,kNN5,2,0,0,0,1,11
538,gad,RF,2,1,0,0,0,11
539,gad,XG,2,1,0,0,0,11
540,gad,NB,3,1,0,0,0,11
541,gad,LR1,3,1,0,0,0,11
542,gad,SVC1,3,1,0,0,0,11
543,gad,kNN5,3,0,0,0,1,11
544,gad,RF,3,1,0,0,0,11
545,gad,XG,3,1,0,0,0,11
546,gad,NB,4,1,0,0,0,11
547,gad,LR1,4,1,0,0,0,11
548,gad,SVC1,4,1,0,0,0,11
549,gad,kNN5,4,1,0,0,0,11
550,gad,RF,4,1,0,0,0,11
551,gad,XG,4,1,0,0,0,11
552,gad,NB,5,1,0,0,0,11
553,gad,LR1,5,1,0,0,0,11
554,gad,SVC1,5,1,0,0,0,11
555,gad,kNN5,5,1,0,0,0,11
556,gad,RF,5,1,0,0,0,11
557,gad,XG,5,1,0,0,0,11
558,gad,NB,6,1,0,0,0,11
559,gad,LR1,6,1,0,0,0,11
560,gad,SVC1,6,1,0,0,0,11
561,gad,kNN5,6,1,0,0,0,11
562,gad,RF,6,1,0,0,0,11
563,gad,XG,6,1,0,0,0,11
564,gad,NB,7,1,0,0,0,11
565,gad,LR1,7,1,0,0,0,11
566,gad,SVC1,7,1,0,0,0,11
567,gad,kNN5,7,1,0,0,0,11
568,gad,RF,7,1,0,0,0,11
569,gad,XG,7,1,0,0,0,11
570,gad,NB,8,1,0,0,0,11
571,gad,LR1,8,1,0,0,0,11
572,gad,SVC1,8,1,0,0,0,11
573,gad,kNN5,8,1,0,0,0,11
574,gad,RF,8,1,0,0,0,11
575,gad,XG,8,1,0,0,0,11
576,gad,NB,1,1,0,0,0,12
577,gad,LR1,1,1,0,0,0,12
578,gad,SVC1,1,1,0,0,0,12
579,gad,kNN5,1,1,0,0,0,12
580,gad,RF,1,1,0,0,0,12
581,gad,XG,1,1,0,0,0,12
582,gad,NB,2,1,0,0,0,12
583,gad,LR1,2,1,0,0,0,12
584,gad,SVC1,2,0,0,0,1,12
585,gad,kNN5,2,1,0,0,0,12
586,gad,RF,2,0,0,0,1,12
587,gad,XG,2,0,0,0,1,12
588,gad,NB,3,1,0,0,0,12
589,gad,LR1,3,1,0,0,0,12
590,gad,SVC1,3,0,0,0,1,12
