,label,model,nFeatures,truePos,trueNeg,falsePos,falseNeg,testIndex
109,phq,LR1,3,0,0,1,0,2
110,phq,SVC1,3,0,1,0,0,2
111,phq,kNN5,3,0,0,1,0,2
112,phq,RF,3,0,1,0,0,2
113,phq,XG,3,0,0,1,0,2
114,phq,NB,4,0,0,1,0,2
115,phq,LR1,4,0,0,1,0,2
116,phq,SVC1,4,0,1,0,0,2
117,phq,kNN5,4,0,0,1,0,2
118,phq,RF,4,0,1,0,0,2
119,phq,XG,4,0,1,0,0,2
120,phq,NB,5,0,0,1,0,2
121,phq,LR1,5,0,0,1,0,2
122,phq,SVC1,5,0,1,0,0,2
123,phq,kNN5,5,0,1,0,0,2
124,phq,RF,5,0,1,0,0,2
125,phq,XG,5,0,1,0,0,2
126,phq,NB,6,0,0,1,0,2
127,phq,LR1,6,0,0,1,0,2
128,phq,SVC1,6,0,0,1,0,2
129,phq,kNN5,6,0,1,0,0,2
130,phq,RF,6,0,0,1,0,2
131,phq,XG,6,0,0,1,0,2
132,phq,NB,7,0,0,1,0,2
133,phq,LR1,7,0,0,1,0,2
134,phq,SVC1,7,0,0,1,0,2
135,phq,kNN5,7,0,1,0,0,2
136,phq,RF,7,0,1,0,0,2
137,phq,XG,7,0,1,0,0,2
138,phq,NB,8,0,0,1,0,2
139,phq,LR1,8,0,0,1,0,2
140,phq,SVC1,8,0,0,1,0,2
141,phq,kNN5,8,0,1,0,0,2
142,phq,RF,8,0,1,0,0,2
143,phq,XG,8,0,0,1,0,2
144,phq,NB,1,1,0,0,0,3
145,phq,LR1,1,0,0,0,1,3
146,phq,SVC1,1,1,0,0,0,3
147,phq,kNN5,1,0,0,0,1,3
148,phq,RF,1,0,0,0,1,3
149,phq,XG,1,0,0,0,1,3
150,phq,NB,2,1,0,0,0,3
151,phq,LR1,2,1,0,0,0,3
152,phq,SVC1,2,1,0,0,0,3
153,phq,kNN5,2,1,0,0,0,3
154,phq,RF,2,0,0,0,1,3
155,phq,XG,2,0,0,0,1,3
156,phq,NB,3,1,0,0,0,3
157,phq,LR1,3,1,0,0,0,3
158,phq,SVC1,3,1,0,0,0,3
159,phq,kNN5,3,1,0,0,0,3
160,phq,RF,3,0,0,0,1,3
161,phq,XG,3,0,0,0,1,3
162,phq,NB,4,1,0,0,0,3
163,phq,LR1,4,1,0,0,0,3
164,phq,SVC1,4,1,0,0,0,3
165,phq,kNN5,4,1,0,0,0,3
166,phq,RF,4,1,0,0,0,3
167,phq,XG,4,0,0,0,1,3
168,phq,NB,5,1,0,0,0,3
169,phq,LR1,5,1,0,0,0,3
170,phq,SVC1,5,1,0,0,0,3
171,phq,kNN5,5,1,0,0,0,3
172,phq,RF,5,1,0,0,0,3
173,phq,XG,5,1,0,0,0,3
174,phq,NB,6,1,0,0,0,3
175,phq,LR1,6,1,0,0,0,3
176,phq,SVC1,6,1,0,0,0,3
177,phq,kNN5,6,0,0,0,1,3
178,phq,RF,6,1,0,0,0,3
179,phq,XG,6,1,0,0,0,3
180,phq,NB,7,1,0,0,0,3
181,phq,LR1,7,1,0,0,0,3
182,phq,SVC1,7,1,0,0,0,3
183,phq,kNN5,7,0,0,0,1,3
184,phq,RF,7,1,0,0,0,3
185,phq,XG,7,1,0,0,0,3
186,phq,NB,8,1,0,0,0,3
187,phq,LR1,8,1,0,0,0,3
188,phq,SVC1,8,1,0,0,0,3
189,phq,kNN5,8,1,0,0,0,3
190,phq,RF,8,1,0,0,0,3
191,phq,XG,8,1,0,0,0,3
192,phq,NB,1,1,0,0,0,4
193,phq,LR1,1,0,0,0,1,4
194,phq,SVC1,1,0,0,0,1,4
195,phq,kNN5,1,1,0,0,0,4
196,phq,RF,1,1,0,0,0,4
197,phq,XG,1,1,0,0,0,4
